Age,Sedentary,Moderately active,Active
21-25,2000,2200,2400
26-30,1800,2000,2400
31-35,"1,800","2,000",2200
36-40,"1,800","2,000",2200
41-45,"1,800","2,000",2200
46-50,"1,800","2,000",2200
51-55,"1,600","1,800",2200
56-60,"1,600","1,800",2200
61-65,"1,600","1,800",2000
66-70,"1,600","1,800",2000
71-75,"1,600","1,800",2000
76+,"1,600","1,800",2000
